Model,Training_Time,Image_Size
KNN,0.0009956359863281,128
SVM,52.751566886901855,128
Random Forest,14.227532148361206,128
Logistic Regression,122.51577234268188,128
Decision Tree,46.320358753204346,128
Naive Bayes,0.8758831024169922,128
Vanilla_CNN,24.62686014175415,128
EfficientNetV2,57.93012809753418,128
KNN,0.0019588470458984375,256
SVM,170.56128859519958,256
Random Forest,27.691627502441406,256
Logistic Regression,382.9357421398163,256
Decision Tree,184.89819192886353,256
Naive Bayes,3.0012004375457764,256
Vanilla_CNN,66.748783826828,256
EfficientNetV2,269.097003698349,256